Artist,Spotify Name,Genres,Popularity,Similarity
The Bowling Green,The Bowling Green State University Falcon Marching Band,,2.0,47
The New Deal,,,,0
LOC,,,,0
Phyllis Hyman,,,,0
Marcus Roberts,,,,0
"Walter ""Wolfman"" Washington",,,,0
Iain macDonald,,,,0
The Locust,,,,0
Dinosaur Eyelids,,,,0
Mac Wiseman,,,,0
Murs,,,,0
Down To The Bone featuring Roy Ayers,,,,0
Melt Banana,,,,0
The Sensational Alex Harvey Band,,,,0
Horse Thief,,,,0
Bon Jovi,,,,0
Obray Ramsey,,,,0
The Flaming Lips,,,,0
Dayna Stephens,,,,0
Gustav Mahler,,,,0
Vertical Horizon,,,,0
Four Tet,,,,0
Faith Hill,,,,0
Clarence Gatemouth Brown,,,,0
Louis Armstrong,,,,0
Aurora,,,,0
Jellyfish,,,,0
Jan Garbarek_ The Hilliard Ensemble,Jan Garbarek,"['classical saxophone' 'contemporary jazz' 'ecm-style jazz' 'jazz fusion'
 'jazz saxophone' 'norwegian jazz']",49.0,51
Curtis Mayfield & The Impressions,Curtis Mayfield,['chicago soul' 'classic soul' 'funk' 'soul'],62.0,62
Al Dexter & His Troopers,Al Dexter,['cowboy western' 'western swing'],21.0,55
Sam Lao,Sam Lachow,['indie pop rap' 'pop rap' 'seattle hip hop' 'underground hip hop'],47.0,82
X,XXXTENTACION,['emo rap' 'miami hip hop'],89.0,15
Ruby,Ruby Waters,,50.0,53
Johnny & The Attractions,Johnny Cash,['arkansas country' 'outlaw country'],76.0,46
Silver,Silverstein,"['canadian post-hardcore' 'canadian rock' 'metalcore' 'pop punk'
 'post-hardcore' 'screamo']",62.0,71
Robbie Williams And Jane Horrocks,Robbie Williams,['dance rock' 'europop'],74.0,62
Success N Effect,Success-N-Effect,['old school atlanta hip hop'],7.0,88
Puff Daddy & The Family,Diddy,"['dance pop' 'east coast hip hop' 'hip hop' 'hip pop' 'pop rap' 'r&b'
 'rap']",75.0,29
James Brown and The Soul G's,James Brown & The Famous Flames,['funk' 'soul'],59.0,71
Martha and the Vandellas,Martha Reeves & The Vandellas,"['classic girl group' 'classic soul' 'disco' 'funk' 'motown' 'quiet storm'
 'soul' 'southern soul']",60.0,79
Lounge Lizards,The Lounge Lizards,['experimental' 'free jazz' 'jazzcore' 'no wave'],32.0,88
Rosemary & Garlic,Rosemary Clooney,"['adult standards' 'easy listening' 'lounge' 'swing' 'torch song'
 'vocal jazz']",48.0,61
Linx,Linkin Park,['alternative metal' 'nu metal' 'post-grunge' 'rap metal'],88.0,40
Maxïmo Park,Maximo Park,"['alternative dance' 'britpop' 'indie rock' 'modern rock' 'new rave'
 'newcastle indie' 'rock']",51.0,91
Three 6 Mafia Three 6 Mafia feat. Lil' Flip,Three 6 Mafia,"['crunk' 'dirty south rap' 'gangster rap' 'hip hop' 'memphis hip hop'
 'pop rap' 'rap' 'southern hip hop' 'tennessee hip hop' 'trap']",66.0,46
Pearl Harbor Soundtrack,Pearl Brothers,['japanese new wave'],32.0,49
Johnny A.,Johnny Ace,['doo-wop' 'rhythm and blues'],32.0,84
Elvis Presley With Voice,Elvis Presley,['rock-and-roll' 'rockabilly'],81.0,70
Tex Ritter & His Texans,Tex Ritter,['cowboy western'],32.0,61
Giorgio Moroder,,,,0
Kirk Franklin,,,,0
Ce Ce Peniston,,,,0
Sixpence None the Richer,,,,0
Roberta Gambarini,,,,0
Koffee Brown Featuring Lady Luck,,,,0
Josh Joplin,Josh Joplin Group,['grunge pop'],22.0,79
Wisin & Yandel,,,,0
Big Jack Johnson & The Oilers,,,,0
Gin Blossoms,,,,0
Little Cuts,little cuts on water,,,71
G Unit ft. 50 Cent & Tony Yayo,G-Unit,"['gangster rap' 'hardcore hip hop' 'hip hop' 'nyc rap' 'pop rap'
 'queens hip hop' 'rap' 'southern hip hop']",65.0,28
Afrika Bambaataa & The Soulsonic Force,Afrika Bambaataa,"['bronx hip hop' 'east coast hip hop' 'electro' 'hip hop'
 'old school hip hop']",46.0,59
Robert Blair,Robert Blair & The Fantastic Violinaires,['contemporary gospel'],11.0,46
Spaniels,The Spaniels,['doo-wop' 'rhythm and blues'],38.0,80
Pet Shop Boys With Dusty Springfield,Dusty Springfield,"['adult standards' 'british invasion' 'classic rock' 'folk' 'folk rock'
 'mellow gold' 'rock' 'soul']",67.0,64
Jools Holland And Taj Mahal,Jools Holland,['boogie-woogie'],45.0,65
Bobby Fuller,The Bobby Fuller Four,['bubblegum pop' 'classic garage rock' 'merseybeat' 'rock-and-roll'],47.0,73
"Clement ""Coxsone"" Dodd",,,,0
Shaggy / Nicole Scherzinger,Shaggy,['dance pop' 'pop rap' 'reggae fusion'],75.0,36
Tirez Tirez,Tireze,,,71
Mac Wiseman (With Special Guests Lester Flatt & Chubby Wise),Lester Flatt,"['appalachian folk' 'bluegrass' 'bluegrass gospel'
 'instrumental bluegrass' 'old-time' 'progressive bluegrass'
 'traditional bluegrass' 'traditional country']",36.0,33
Mylo Feat. Freeform Five,MYLØ,,52.0,21
Frankie Lymon & The Teenagers_ Lymon_ Levy,Frankie Lymon,['doo-wop' 'rhythm and blues'],43.0,47
Robert Glasper Experiment,Robert Glasper,"['alternative r&b' 'contemporary jazz' 'indie jazz' 'indie soul'
 'modern jazz piano' 'neo soul']",63.0,72
Nick & The Jaguars,Nicki Minaj,['dance pop' 'hip pop' 'pop' 'queens hip hop' 'rap'],88.0,41
Cadillacs,Los Fabulosos Cadillacs,"['argentine rock' 'latin alternative' 'latin rock' 'rock en espanol' 'ska'
 'ska argentino']",70.0,56
Tye Tribbett & G.A.,Tye Tribbett,['gospel' 'praise'],53.0,77
Small,Smallpools,"['hopebeat' 'indie poptimism' 'la indie' 'la pop' 'metropopolis'
 'modern alternative rock' 'modern rock' 'pop rock']",55.0,67
Esquivel,Esquivel!,['exotica' 'lounge' 'space age pop'],38.0,94
Jazz Gillum,,,,0
Christina Aguilera,,,,0
Witchcraft,,,,0
Pro-Pain,,,,0
Dub Pistols,,,,0
Unsane,,,,0
Adam Arcuragi,,,,0
Supersystem,,,,0
Os Mutantes,,,,0
Gwen Bunn,,,,0
Sam Rivers,,,,0
Motion City Soundtrack,,,,0
Rick Derringer,,,,0
Roy Eldridge,,,,0
The Wombats,,,,0
Tenpole Tudor,,,,0
Sonny Landreth,,,,0
Dierks Bentley,,,,0
Les Paul & Mary Ford,,,,0
Clearance,,,,0
P'taah,,,,0
Liquid Liquid,,,,0
Cher Lloyd,,,,0
Taraf de Haïdouks,,,,0
Mark Helias,,,,0
Johnny Lange,,,,0
Ricky Martin Feat. Joss Stone,Ricky Martin,['latin pop' 'mexican pop' 'puerto rican pop'],76.0,59
Lil' Keke,Lil’ Keke,"['chopped and screwed' 'crunk' 'dirty south rap' 'gangster rap'
 'houston rap' 'southern hip hop' 'trap']",55.0,89
Catchers,Hz Catchers,['white noise'],45.0,84
Ice Cube Featuring Chuck D,Ice Cube,"['conscious hip hop' 'g funk' 'gangster rap' 'hip hop' 'rap'
 'west coast rap']",78.0,47
Anne Richmond Boston,Boston,"['album rock' 'art rock' 'classic rock' 'country rock' 'hard rock'
 'mellow gold' 'rock' 'soft rock']",68.0,46
Lach,LaChanze,['movie tunes'],61.0,67
Meredith D'Ambrosio / Hank Jones Duo,Meredith Monk,"['american contemporary classical' 'avant-garde' 'compositional ambient'
 'contemporary classical' 'experimental' 'experimental vocal' 'minimalism'
 'spectra']",41.0,53
Laika and the Cosmonauts,Laika & The Cosmonauts,"['indie surf' 'instrumental rock' 'instrumental surf' 'rautalanka'
 'surf music']",23.0,91
Col. Bruce Hampton & The Aquarium Rescue Unit,Col. Bruce Hampton,,22.0,57
Chris Dave,Chris Davenport,,49.0,80
Sole,Solence,['post-screamo'],59.0,73
Heatzone,healwone,,34.0,75
David Cassidy & The Partridge Family,David Cassidy,['bubblegum pop'],42.0,53
John Lee 'Sonny Boy' Williamson,Sonny Boy Williamson I,"['blues' 'chicago blues' 'country blues' 'harmonica blues'
 'traditional blues']",23.0,75
The Quails,Bill Robinson & The Quails,['souldies'],8.0,56
Staple Singers,The Staple Singers,"['chicago soul' 'classic soul' 'funk' 'memphis soul' 'quiet storm' 'soul'
 'southern soul']",57.0,88
Arsonists,Arsonists Get All The Girls,['deathcore' 'melodic metalcore' 'nintendocore' 'trancecore'],27.0,50
N*E*R*D,N.E.R.D,['hip hop' 'virginia hip hop'],60.0,57
Frankie Knuckles Presents Satoshi Tomiie,Satoshi Nakamoto,,44.0,36
Holz,Hozier,['irish singer-songwriter' 'pop'],81.0,60
Ray J / Brandy,Ray J,['pop rap' 'r&b' 'urban contemporary'],57.0,53
Dream,Dreamville,['hip hop' 'rap' 'underground hip hop'],73.0,67
Death,Death Cab for Cutie,['indie pop' 'indie rock' 'modern rock' 'washington indie'],67.0,42
Sonny Boy Williamson,Sonny Boy Williamson II,"['acoustic blues' 'blues' 'blues rock' 'chicago blues' 'country blues'
 'delta blues' 'harmonica blues' 'traditional blues']",52.0,93
Pan?American,Pan-American,"['ambient' 'compositional ambient' 'dark jazz' 'drift' 'drone'
 'dub techno' 'fourth world' 'indie electronica' 'j-ambient' 'microhouse'
 'new isolationism' 'nu age' 'sound art']",32.0,92
Soul Stirrers,The Soul Stirrers,['gospel singers' 'gospel soul'],45.0,87
Monk & Neagle,Arctic Monkeys,['garage rock' 'modern rock' 'permanent wave' 'rock' 'sheffield indie'],89.0,37
Cass McCombs,,,,0
Merle Haggard,,,,0
Anthea,,,,0
Sleep,,,,0
Hank Marvin,,,,0
Extreme,,,,0
Minibar,,,,0
Pretty Ricky,,,,0
"Lutalo ""Sweet Lu"" Olutosin",,,,0
Au Dunes,,,,0
Brian Jackson,,,,0
Tommy Flanagan,,,,0
Camila,,,,0
Asleep At The Wheel,,,,0
Tad Robinson,,,,0
Birdy,,,,0
Hurl,,,,0
Michael Burks,,,,0
White Eskimo,,,,0
Jessie Ware,,,,0
Junior Wells,,,,0
100 Proof Aged in Soul,,,,0
Gene Gifford,,,,0
Far East Movement,,,,0
The Movielife,,,,0
Max Romeo & Lee Perry,,,,0
Alban Berg,Alban Berg Quartett,['classical' 'classical performance' 'streichquartett' 'string quartet'],42.0,69
Mary Wells / Marvin Gaye,Mary Wells,['classic soul' 'funk' 'motown' 'soul'],53.0,59
Guy Manning,Guy,"['contemporary r&b' 'funk' 'hip hop' 'hip pop' 'neo soul' 'new jack swing'
 'quiet storm' 'r&b' 'urban contemporary']",52.0,43
Toyah Willcox_ Markus Reuter_ Arvo Urb_ Chris Wong_ Robert Jürjendal,Chris Worsey,,55.0,25
Tennessee Ernie Ford And Glen Campbell,Tennessee Ernie Ford,['bluegrass gospel' 'comic' 'country boogie' 'country gospel' 'yodeling'],52.0,69
taters,Tate McRae,['pop'],83.0,62
The Moles,The Moleskins,['coverchill' 'italian lounge'],44.0,82
Bill Charlap,Bill Charlap Trio,['jazz' 'jazz trio'],50.0,83
Bill Evans Quintet,Bill Evans,['bebop' 'cool jazz' 'jazz' 'jazz fusion' 'jazz piano'],64.0,71
Tubeway Army / Gary Numan,Gary Numan,"['art rock' 'new romantic' 'new wave' 'new wave pop' 'permanent wave'
 'post-punk' 'synthpop']",53.0,57
Archie Bell,Archie Bell & The Drells,"['classic soul' 'disco' 'funk' 'northern soul' 'philly soul' 'quiet storm'
 'rhythm and blues' 'soul' 'southern soul']",43.0,63
Ron Wood,Roy Woods,"['canadian contemporary r&b' 'canadian hip hop' 'pop rap' 'r&b' 'trap'
 'trap soul']",65.0,82
Ham,Hammock,"['ambient guitar' 'ambient post-rock' 'ambient worship'
 'compositional ambient' 'post-rock' 'space ambient']",53.0,60
