Artist,Spotify Name,Genres,Popularity,Similarity
Master Musicians of Jajouka,The Master Musicians Of Jajouka,['moroccan traditional'],14.0,93
Panda & Angel,Panda Bear,"['alternative dance' 'alternative rock' 'art pop' 'chamber psych'
 'chillwave' 'collage pop' 'dream pop' 'experimental pop' 'indie rock'
 'indietronica' 'neo-psychedelic' 'new rave' 'noise pop']",55.0,61
William Ackerman,Will Ackerman,['fingerstyle' 'new age'],43.0,90
Gutter Twins,The Gutter Twins,['grunge' 'supergroup'],27.0,86
Tito Puente & His Orchestra,Tito Puente,"['afro-cuban percussion' 'jazz puertorriqueno' 'latin jazz' 'mambo'
 'salsa']",52.0,58
Cam_ Drew Deezy_ Keak Da Sneak,Keak Da Sneak,['cali rap' 'hyphy' 'oakland hip hop' 'west coast rap' 'west coast trap'],47.0,60
Ayleon,AYEON,,43.0,91
Jools Holland And Suggs,Jools Holland,['boogie-woogie'],45.0,72
Sam The Sham and The Pharaohs,,,,0
Steve Wynn & The Miracle 3,,,,0
Grape Soda,,,,0
Buddy Knox,,,,0
The For Carnation,,,,0
I_ Ludicrous,"I, Ludicrous",,2.0,92
Pauline Oliveros,,,,0
Mia Doi Todd,,,,0
John Moore,,,,0
Albert Ayler Trio,,,,0
Trey Anastasio,,,,0
Blaqk Audio,,,,0
Houston,Whitney Houston,['dance pop' 'pop' 'urban contemporary'],79.0,64
Chic,Chicago,"['adult standards' 'album rock' 'classic rock' 'folk rock' 'mellow gold'
 'soft rock' 'yacht rock']",71.0,73
Inmates,The Inmates,['pub rock'],29.0,78
Charlie Patton,Charlie Patton's War,['modern blues rock'],26.0,82
Nick Lowe_ Rockpile,Nick Lowe,"['alternative country' 'art rock' 'classic rock' 'classic uk pop'
 'country rock' 'folk' 'folk rock' 'power pop' 'pub rock' 'roots rock'
 'singer-songwriter']",50.0,64
Kelly Rowland of Destiny's Child,Kelly Rowland,"['atl hip hop' 'dance pop' 'hip pop' 'neo soul' 'pop' 'pop r&b' 'pop rap'
 'post-teen pop' 'r&b' 'rap' 'urban contemporary']",69.0,58
Tsunami,Tsunami J.,['emo rap' 'zxc'],45.0,82
K.C. Bowman,"Choir of King's College, Cambridge",['british choir' 'cambridge choir' 'choral'],58.0,18
Scientist / Jammy / The Roots Radics,,,,0
Velvet,Velvet Revolver,"['alternative metal' 'alternative rock' 'grunge' 'hard rock' 'nu metal'
 'rock' 'supergroup']",57.0,57
Hezekiah Walker & The Love Fellowship Crusade Choir,Hezekiah Walker,['gospel' 'israelite hip hop'],51.0,45
Boom Bip & Doseone,Boom Bip,,30.0,62
Ascension & Anekdott,Ascension,,32.0,62
Marty Stuart & His Fabulous Superlatives,Marty Stuart,['country' 'country rock'],51.0,46
The Saturday Night Live Band,Saturday Night Live Cast,,23.0,81
Jim Dandy's Black Oak_ Arkansas,Black Oak Arkansas,['blues rock' 'classic rock' 'country rock' 'hard rock' 'southern rock'],33.0,73
P.o.d,P.O.D.,['alternative metal' 'funk metal' 'nu metal' 'rap metal' 'rap rock'],64.0,91
Parlez,Parker McCollum,['contemporary country' 'texas country'],71.0,38
Lady & Bird,Lady Gaga,['art pop' 'dance pop' 'pop'],89.0,50
Sam 'Lightnin' Hopkins,Lightnin' Hopkins,"['acoustic blues' 'blues' 'country blues' 'delta blues' 'texas blues'
 'traditional blues']",48.0,87
Keel,Keely Smith,['adult standards' 'lounge' 'torch song' 'vocal jazz'],49.0,53
SX,SXMPRA,['drift phonk'],71.0,50
Damion Suomi,Damion Suomi & The Minor Prophets,,10.0,53
Dropkick Murphys & The Business,Dropkick Murphys,"['boston punk' 'boston rock' 'celtic punk' 'celtic rock' 'punk'
 'skate punk']",65.0,68
The F.U.'S,Sir Neville Marriner,['classical performance' 'orchestral performance'],68.0,13
IAMX,,,,0
Chuck Berry,,,,0
Boyracer,,,,0
The Buck Pets,,,,0
EM1,,,,0
Lorene Drive,,,,0
Marvin & Johnny,Marvin Gaye,['classic soul' 'funk' 'motown' 'northern soul' 'quiet storm' 'soul'],75.0,62
Ken Chu,朱孝天,['taiwan idol pop'],16.0,0
Ray Noble,Ray Noble & His Orchestra,"['british dance band' ""man's orchestra""]",37.0,53
The Nitty Gritty Dirt Band,Nitty Gritty Dirt Band,['country' 'country rock' 'folk' 'folk rock' 'mellow gold' 'soft rock'],61.0,92
The Zen Tricksters,Zen Tricksters,,,88
Sister Rosetta Tharpe and Marie Knight,Marie Knight,['acoustic blues'],30.0,48
Josef K,Josef Krips,['orchestral performance'],43.0,78
Sonics,The Sonics,"['classic garage rock' 'freakbeat' 'garage rock' 'protopunk'
 'psychedelic rock' 'punk' 'punk blues']",46.0,75
???,Elvis Presley,['rock-and-roll' 'rockabilly'],81.0,0
Jean Jacques Perrey & Luke Vibert,Jean-Jacques Perrey,"['exotica' 'lounge' 'moog' 'space age pop' 'synthesizer'
 'vintage french electronic']",34.0,69
Acid Mothers Temple & The Melting Paraiso U.F.O.,ACID MOTHERS TEMPLE,['japanese psychedelic' 'japanese psychedelic rock'],16.0,57
Felix,Felix Jaehn,"['dance pop' 'edm' 'electro house' 'german dance' 'pop' 'pop dance'
 'tropical house']",79.0,62
Harry Smith,The Harry Smiths,,3.0,81
Toad,Toadies,"['alternative metal' 'alternative rock' 'grunge' 'pop rock' 'post-grunge'
 'rock']",54.0,73
Polina,Polina Grace,['pop quebecois'],52.0,67
24 Gone,24h,,47.0,40
John Lennon With The Plastic Ono Nuclear Band/Little Big Horns And The Philharmonic Orchestrange,Little Big Town,['contemporary country' 'country' 'country dawn' 'country road'],67.0,23
Johnny Cash with The Carter Family,Johnny Cash,['arkansas country' 'outlaw country'],76.0,49
Five Blind Boys Of Mississippi,The Five Blind Boys Of Mississippi,['contemporary gospel' 'gospel singers'],26.0,94
Streetwalkin' Cheetahs,The Streetwalkin' Cheetahs,"[""punk 'n' roll""]",5.0,92
Raheem,Raheem DeVaughn,"['contemporary r&b' 'funk' 'hip hop' 'hip pop' 'neo soul' 'quiet storm'
 'r&b' 'urban contemporary']",50.0,57
Spitzz,Spitzgefühl,,37.0,59
Echo & the Bunnymen,Echosmith,['indie poptimism' 'pop rock'],62.0,43
Television Room,Television Blonde,,40.0,75
Disciple,Disciples,"['deep groove house' 'disco house' 'edm' 'house' 'pop dance'
 'tropical house' 'uk dance']",64.0,94
Crazy World Of Arthur Brown,The Crazy World Of Arthur Brown,['psychedelic rock'],27.0,93
Breaking Circus,Brokencyde,['crunk' 'electropowerpop' 'screamo'],40.0,40
Impaled,Impaled Nazarene,"[""black 'n' roll"" 'black metal' 'black thrash' 'finnish black metal'
 'metal' 'oulu metal']",40.0,61
Phonte featuring Cesar Comanche,Phontana,,69.0,36
Shelter,Sheltered Solitude,['background music'],39.0,56
Tung Twista,Twista,"['chicago rap' 'dirty south rap' 'gangster rap' 'hip hop' 'pop rap' 'r&b'
 'rap' 'trap' 'urban contemporary']",68.0,71
"Cliff ""Ukelele Ike"" Edwards",Cliff Edwards,['movie tunes'],44.0,65
Art Blakey,Art Blakey & The Jazz Messengers,['bebop' 'hard bop' 'jazz' 'jazz drums' 'jazz fusion'],46.0,48
Groan Techno,Techno Titan,,26.0,50
Parker,Parker McCollum,['contemporary country' 'texas country'],71.0,57
ZZT,ZZ Top,"['album rock' 'blues rock' 'classic rock' 'country rock' 'hard rock'
 'metal' 'rock']",72.0,67
Tayla,Taylor Swift,['pop'],99.0,47
Ute Lemper / RIAS Berlin Kammerensemble,Konzerthaus Kammerorchester Berlin,['chamber orchestra'],61.0,30
Mississippi Fred McDowell & Johnny Woods,Mississippi Fred McDowell,"['acoustic blues' 'blues' 'country blues' 'delta blues'
 'traditional blues' 'traditional southern folk']",37.0,77
New Deal,The New Deal,['jam band' 'jamtronica' 'livetronica'],28.0,80
Mazz,Mazzy Star,"['alternative rock' 'art pop' 'dream pop' 'melancholia' 'rock' 'shoegaze'
 'slowcore']",68.0,57
Krafty Kuts feat. Dynamite MC,The Kraft,,26.0,26
New York Art Quartet,,,,0
Del,,,,0
"Hubert Selby, Jr.",,,,0
Eddie Holland,,,,0
the FRIGHTNRS,,,,0
Alastair Galbraith,,,,0
Earl Bostic,,,,0
The Knack,,,,0
Clutch,,,,0
Men at Work,,,,0
Will Downing,,,,0
Jack's Mannequin,,,,0
Ajanta,,,,0
Afrika Bambaataa,,,,0
Joseph Angel,,,,0
fun.,,,,0
Buck Owens,,,,0
Nicole Scherzinger,,,,0
Marshall Crenshaw,,,,0
Bettie Serveert,,,,0
ZZ Top,,,,0
Keak Da Sneak & Psd,,,,0
Molley Hatchet,,,,0
The Soviettes,,,,0
Barry & The Remains,Barry Manilow,"['adult standards' 'bubblegum pop' 'disco' 'mellow gold' 'quiet storm'
 'soft rock' 'yacht rock']",64.0,56
Jaco Pastorius Big Band,Jaco Pastorius,['electric bass' 'jazz' 'jazz funk' 'jazz fusion'],46.0,76
Bounty Killer & Wayne Marshall,Bounty Killer,"['dancehall' 'jamaican hip hop' 'lovers rock' 'old school dancehall'
 'reggae fusion']",54.0,60
Gorilla Zoe featuring Block & Big Gee,Gorilla Zoe,"['atl hip hop' 'crunk' 'dirty south rap' 'futuristic swag' 'gangster rap'
 'pop rap' 'rap' 'southern hip hop' 'trap']",55.0,46
Fromental Halevy,Fromental Halévy,['early romantic era' 'french opera' 'french romanticism'],13.0,94
C.O.B.,C.O.D.J,['dinner jazz'],54.0,77
Maps,Marshmello,['brostep' 'dance pop' 'edm' 'pop' 'pop dance' 'progressive electro house'],85.0,43
DJ Mustard,Mustard,"['cali rap' 'hip hop' 'pop' 'pop rap' 'rap' 'southern hip hop' 'trap'
 'viral rap']",76.0,82
Manual,Manuel Turizo,"['colombian pop' 'latin pop' 'reggaeton' 'reggaeton colombiano'
 'urbano latino']",86.0,53
Johnny,Johnny Cash,['arkansas country' 'outlaw country'],76.0,71
Subway,Subway Surfers,,40.0,60
Nikki & The Corvettes,Nikki Lane,"['alternative country' 'deep new americana' 'new americana'
 'outlaw country']",52.0,45
Wumpscut,:Wumpscut:,"['aggrotech' 'dark wave' 'ebm' 'electro-industrial' 'industrial'
 'industrial metal' 'industrial rock' 'power noise']",37.0,89
Richard & Mimi Fariña,Richard Marx,['album rock' 'mellow gold' 'new wave pop' 'soft rock'],68.0,67
Daúde,dandelion hands,['indie pop' 'lo-fi emo' 'lo-fi indie'],59.0,40
Roy Wood,Roy Woods,"['canadian contemporary r&b' 'canadian hip hop' 'pop rap' 'r&b' 'trap'
 'trap soul']",65.0,94
KRS-One_ Buckshot,KRS,,23.0,30
Steve Wynn & The Dragon Bridge Orchestra,Steve Wynn,['paisley underground' 'solo wave'],22.0,40
James Carter and The Prisoners,James Carter,['covertronica' 'pop dance' 'pop edm' 'tropical house'],73.0,57
Wayne Fontana,Wayne Fontana & The Mindbenders,"['british invasion' 'bubblegum pop' 'classic uk pop' 'merseybeat'
 'rock-and-roll']",35.0,59
Giant,Giant Rooks,,67.0,62
The Music,The Musical Ghost,['pixel' 'vgm remix'],39.0,69
Chris Dreja,Chris de Burgh,['mellow gold' 'new wave pop' 'soft rock'],63.0,64
The Georgia Sea Island Singers,John Davis & the Georgia Sea Island Singers,['traditional southern folk'],2.0,82
Hollow & Akimbo,Hollow Coves,['indie folk'],67.0,59
Jennifer Hudson featuring Fantasia,Jennifer Hudson,['dance pop' 'hip pop' 'hollywood' 'neo soul' 'r&b' 'urban contemporary'],61.0,61
Gary Numan / Tubeway Army,Gary Numan,"['art rock' 'new romantic' 'new wave' 'new wave pop' 'permanent wave'
 'post-punk' 'synthpop']",53.0,57
Jónsi & Alex,Jónsi,['icelandic pop' 'post-rock'],52.0,59
Stella,Stellar,['social media pop'],68.0,92
Always August,Always In August,,,90
Push Play,Push & Play,,27.0,90
Ripple,Ripple Tone,,27.0,71
pape serigne seck,Pape Samory Seck,,24.0,73
Mink,Minke,['indie electropop' 'uk pop'],46.0,89
The Constantines,Constantines,['canadian indie'],25.0,86
Emma,Emmanuel,['latin pop' 'mexican pop' 'ranchera' 'rock en espanol'],70.0,67
Exene Cervenka / John Doe,John Doe,['alternative country' 'roots rock'],31.0,48
Marc Bolan,T. Rex,"['album rock' 'art rock' 'blues rock' 'classic rock' 'folk rock'
 'glam rock' 'protopunk' 'psychedelic rock' 'rock']",64.0,12
Sean Kingston and Justin Bieber,Sean Kingston,"['dance pop' 'miami hip hop' 'pop' 'post-teen pop' 'rap'
 'urban contemporary']",72.0,59
Avengers,Avengers Campus Orchestra,,16.0,48
Ida,Idan Raichel,"['classic israeli pop' 'israeli mediterranean' 'israeli pop'
 'israeli singer-songwriter']",57.0,40
Drunk,Drunk Urameshi,,48.0,53
Dwight Twilley,Dwight Twilley Band,['power pop' 'pub rock' 'underground power pop'],30.0,85
Paquito D'Rivera_ The United Nation Orchestra,Paquito D'Rivera,['jazz cubano' 'latin jazz'],40.0,52
Geno Washington,Geno Washington and the Ram Jam Band,['british invasion' 'freakbeat'],16.0,59
Georgia Satellites,The Georgia Satellites,"['album rock' 'blues rock' 'classic rock' 'country rock' 'hard rock'
 'rock' 'southern rock']",51.0,90
Izzy Stradlin,Izzy Stradlin And The Ju Ju Hounds,['hard rock'],29.0,55
Grandmaster Melle Mel & The Furious Five featuring Mr. Ness & Cowboy,Grandmaster Melle Mel,['bronx hip hop' 'east coast hip hop' 'electro' 'old school hip hop'],54.0,47
Amon Tobin and P-Love,,,,0
Tiger,Tigers Jaw,"['alternative emo' 'anthem emo' 'bubblegrunge' 'dreamo' 'emo' 'indie punk'
 'lo-fi emo' 'pop punk']",49.0,67
Chavez,Christian Chávez,['mexican pop'],75.0,55
Ian Dury & The Blockheads,Ian Dury,['pub rock' 'punk'],46.0,48
Alfie,Alfie Templeman,['modern alternative pop'],60.0,50
David & Steve Gordon,David Guetta,['big room' 'dance pop' 'edm' 'pop' 'pop dance'],91.0,44
Organized Noize,Organized Noize Productions,,24.0,71
Journey & Mental Broadcast,Journey,['album rock' 'classic rock' 'hard rock' 'mellow gold' 'rock' 'soft rock'],76.0,42
Pete Rock & C.L. Smooth,Pete Rock,"['alternative hip hop' 'east coast hip hop' 'gangster rap'
 'hardcore hip hop' 'hip hop' 'jazz rap' 'turntablism']",56.0,56
Horsepower,Horsepower Productions,['classic dubstep' 'uk bass'],18.0,62
Barbra Streisand & Barry Gibb,Barbra Streisand,['adult standards' 'hollywood' 'mellow gold' 'soft rock'],67.0,71
Raven,Raven & Kreyn,['big room' 'electro house' 'gaming edm' 'pop edm'],50.0,56
Butch Walker & The Let's-Go-Out-Tonites,Butch Walker,,40.0,47
Sá & Guarabyra,Sam Smith,['pop' 'uk pop'],90.0,17
Play,Playboi Carti,['atl hip hop' 'hip hop' 'plugg' 'pluggnb' 'rap'],85.0,47
Uzi,Lil Uzi Vert,['melodic rap' 'philly rap' 'rap' 'trap'],90.0,40
John Abercrombie_ Ralph Towner,John Abercrombie,"['contemporary jazz' 'ecm-style jazz' 'jazz' 'jazz fusion' 'jazz guitar'
 'swedish jazz']",33.0,70
Françoise Hardy - Ben Christophers,Ben Crosland,['background piano' 'compositional ambient' 'neo-classical'],60.0,30
Joe & *NSYNC,Joey Bada$$,['conscious hip hop' 'hip hop' 'rap' 'underground hip hop'],76.0,35
Rossington,Rossington Collins Band,['country rock' 'southern rock'],32.0,61
Marco Borsato / Lucie Silvas,Marco Borsato,['dutch cabaret' 'dutch pop' 'dutch rock'],58.0,63
Sasha & John Digweed,Sasha Alex Sloan,['alt z' 'electropop' 'pop'],72.0,50
Brian Wilson And Van Dyke Parks,Brian Wilson,['baroque pop' 'sunshine pop'],45.0,56
Little Caesar,Little Caesar & the Romans,['doo-wop'],25.0,67
Too Short,Too $hort,"['cali rap' 'gangster rap' 'golden age hip hop' 'hip hop' 'hyphy'
 'oakland hip hop' 'pop rap' 'rap' 'southern hip hop' 'west coast rap']",67.0,89
Boston Bun,,,,0
Micah P. Hinson,,,,0
Billy Talent,,,,0
Lester Bowie,,,,0
Enrico Rava,,,,0
Rival Consoles,,,,0
Hamid Drake_ Albert Beger_ William Parker,,,,0
The Fire Theft,,,,0
Elton Britt,,,,0
Maura O'Connell,,,,0
Frederic Chopin,,,,0
Non,,,,0
Donavon Frankenreiter,,,,0
Lafayette Gilchrist,,,,0
Johnny Gill,,,,0
The Rentals,,,,0
Wild Bill Moore,,,,0
Dogs Die in Hot Cars,,,,0
Bachman-Turner Overdrive,,,,0
World's End Press,,,,0
Liliput,,,,0
"Lee ""Scratch"" Perry",,,,0
Paul Kelly and The Messengers,,,,0
Delta 5,,,,0
Method Man,,,,0
Ludwig van Beethoven,,,,0
Gerry Rafferty,,,,0
AlunaGeorge,,,,0
Edwin Hawkins,,,,0
Snuff,,,,0
Alan Broadbent,Alan Broadbent Trio,['modern jazz trio'],29.0,85
Les Brown,Les Brown & His Orchestra,"['big band' ""man's orchestra"" 'swing']",33.0,53
Isotope,Isotopes,['metalcore' 'post-screamo'],32.0,93
Hints,Hins Cheung,['c-pop' 'cantopop'],61.0,50
Copycat,COPYCATT,['future bass' 'halftime dnb'],26.0,93
Javen,Jaden,['pop' 'rap'],70.0,80
AZ,Azealia Banks,"['alternative r&b' 'dance pop' 'escape room' 'hip house' 'lgbtq+ hip hop'
 'pop' 'trap queen']",66.0,27
Ted Leo/Pharmacists,Ted Leo and the Pharmacists,['indie rock'],35.0,78
The Kitty Vermont,Kitty Cleveland,['rosary'],27.0,56
Cluster Balm,Cluster,,35.0,74
Silver Sun,Silversun Pickups,['alternative rock' 'indie rock' 'la indie' 'modern rock' 'rock'],58.0,67
"Queen Latifah, Nikki Blonsky, Zac Efron and Elijah Kelley",QueenLeia,,24.0,21
Luiz Bonfa,Luiz Bonfá,['bossa nova' 'brazilian jazz' 'jazz guitar' 'samba-jazz' 'violao'],58.0,90
Dennis Brown & Prince Mohammed,Dennis Brown,['dub' 'lovers rock' 'old school dancehall' 'reggae' 'roots reggae'],53.0,57
Jessi Colter / Waylon Jennings,Jessi Colter,['classic country pop' 'country' 'country rock' 'outlaw country'],44.0,57
Lilacs & Champagne,Lilacs.,,42.0,48
Rod Piazza & The Mighty Flyers,Rod Piazza,['harmonica blues'],21.0,50
Dinky,Dinky Kunene,,39.0,59
Les Rythmes Digitales feat. Nik Kershaw,Nik Kershaw,['europop' 'new romantic' 'new wave' 'new wave pop' 'soft rock' 'synthpop'],57.0,44
Marcus,Marcus King,['modern blues rock'],56.0,71
The Poems,The Poets Of Rhythm,['afrobeat' 'funk' 'modern funk'],45.0,57
UTFO,,,,0
Buddy Holly & The Picks,,,,0
Kendra Shank_ Larry Willis Quartet,,,,0
The Shaggs,,,,0
Danzig,,,,0
Wreckless Eric,,,,0
Concrete Blonde,,,,0
Moist,,,,0
Schlammpeitziger,,,,0
Virgin Prunes,,,,0
Congos,,,,0
Rhonda Smith,,,,0
The Makes Nice,,,,0
Elvin Bishop,,,,0
Gore Gore Girls,,,,0
Rick Wilhite,,,,0
Tom Jones / Barenaked Ladies,,,,0
Califone,,,,0
Lake Trout,,,,0
VHS Or Beta,,,,0
Screeching Weasel,,,,0
Relient K,,,,0
Latin Playboys,,,,0
Celia Cruz & Johnny Pacheco,,,,0
Andy LaRocque,,,,0
Machine Head,,,,0
Rock Star Club,,,,0
The Buckinghams,,,,0
Atlantic Starr,,,,0
Carter Burwell,,,,0
E.U.,,,,0
Paragons,,,,0
Bilal,,,,0
The United States of America,The Presidents Of The United States Of America,"['alternative metal' 'alternative rock' 'grunge' 'pop rock' 'rap rock'
 'rock']",60.0,76
Mana,Maná,"['latin arena pop' 'latin pop' 'latin rock' 'mexican pop' 'mexican rock'
 'rock en espanol']",80.0,75
Masami Akita_ Merzbow,Masashi Hamauzu,['japanese vgm'],52.0,50
BRIAN ENO AND J PETER SCHWALM,Peter Schilling,['german pop' 'new romantic' 'new wave' 'new wave pop' 'synthpop'],57.0,45
Pedro Capo,Pedro Capó,['latin pop' 'puerto rican pop'],70.0,90
The Dismemberment Plan,Dismemberment Plan,['alternative rock' 'emo' 'indie rock' 'lo-fi' 'post-hardcore'],39.0,90
Dischange,Discharge,"['crossover thrash' 'crust punk' 'd-beat' 'hardcore punk' 'punk'
 'thrash core']",40.0,89
Robert & Johnny,Robert Schumann,['classical' 'early romantic era' 'german romanticism'],68.0,67
Wataz,Watazu,['ballroom'],36.0,91
John Foxx & Harold Budd,John Foxx,"['ambient' 'art rock' 'laboratorio' 'new romantic' 'new wave' 'solo wave'
 'synthpop']",38.0,56
Status,Status Quo,"['album rock' 'blues rock' 'british blues' 'classic rock' 'classic uk pop'
 'glam rock' 'hard rock' 'rock']",62.0,75
Fatima,Fatima Tozer,['instrumental lullaby'],44.0,67
Willie Johnson,Blind Willie Johnson,"['acoustic blues' 'blues' 'country blues' 'gospel blues' 'texas blues'
 'traditional blues']",37.0,82
The Woggles,The Wiggles,"[""australian children's music"" ""children's music""]",69.0,91
Chet Atkins & Merle Travis,Chet Atkins,['nashville sound'],48.0,59
Pole,Polo G,['chicago rap' 'rap'],86.0,60
Marilyn Horne;Mormon Tabernacle Choir;Columbia Symphony Orchestra;Dr. Jerold Ottley,Marilyn Horne,['classical mezzo-soprano' 'opera'],31.0,27
Slumber Party,Slumber Party DJ's,,12.0,84
Rupa & the April Fishes,RuPaul,['dance pop' 'diva house' 'pop' 'strut'],60.0,34
Nuyorican Soul / Jocelyn Brown,Jocelyn Brown,['disco' 'diva house' 'post-disco'],51.0,60
Eck Dunford & Hattie Stoneman,Eck Dunford,,,55
Megan Rochell / Fabolous,Fabolous,"['dance pop' 'gangster rap' 'hip hop' 'hip pop' 'pop rap' 'r&b' 'rap'
 'trap' 'urban contemporary']",69.0,50
Static Daydream,,,,0
Patrick Cowley's,,,,0
Judith Hill,,,,0
The Ecstasy of Saint Theresa,,,,0
"Steve ""Silk"" Hurley",,,,0
Thursday,,,,0
David Lynch,,,,0
HYPOCRISY,,,,0
Des'ree,,,,0
The Greyboy Allstars,,,,0
Bananarama With The Fun Boy Three,,,,0
Oakley Hall,,,,0
Birdman & Lil Wayne,,,,0
Ash Ra Tempel,,,,0
Lee Perry,,,,0
Heavens to Betsy,,,,0
Cousteau,,,,0
Jennifer Lopez,,,,0
Akon,,,,0
Young and Sexy,,,,0
Jakob Dylan,,,,0
Ashley Parker Angel,,,,0
Ennio Morricone,,,,0
Lonnie Liston Smith and the Cosmic Echoes,,,,0
B Boys,,,,0
Frankie Miller,,,,0
Beulah,,,,0
Young Widows,,,,0
Mouse,,,,0
Laurent & Lewis_ Aaron-Carl,Laurent Wilks,,50.0,55
Julliet,Julieta Venegas,['latin alternative' 'latin pop' 'latin rock' 'rock en espanol'],76.0,55
Matthew Sweet & Susanna Hoffs,Matthew Sweet,"['alternative country' 'alternative pop' 'alternative rock' 'jangle pop'
 'laboratorio' 'pop rock' 'power pop' 'roots rock' 'underground power pop']",43.0,62
Roxanne Shanté,Roxanne Shante,['alternative r&b' 'electro' 'old school hip hop' 'queens hip hop'],26.0,93
Blurt,Blur,"['alternative rock' 'britpop' 'madchester' 'modern rock' 'permanent wave'
 'pop rock' 'rock']",72.0,89
Sing-Sing,Sing Sing Rabbit,['rhythm game'],28.0,64
David Coverdale & Whitesnake,David Coverdale,['album rock' 'hard rock'],27.0,70
Spiders & Snakes,Spiders,['gaian doom' 'nwocr'],24.0,61
Niki & Gabi,NIKI,['indonesian r&b' 'pop'],76.0,53
Chad & Jeremy,Chad Lawson,['compositional ambient' 'neo-classical' 'new age piano'],62.0,42
Conor Oberst + Gillian Welch,Conor Oberst,['melancholia' 'omaha indie' 'stomp and holler'],52.0,60
John Lennon And The Plastic Ono Band (With The Flux Fiddlers),Sean Ono Lennon,['beatlesque'],52.0,24
Yuksek / Amanda Blank,Amanda Bynes,['show tunes'],49.0,55
The Goon Show,Goons,,27.0,56
Micah P. Hinson And The Red Empire Orchestra,Micah Preite,['lo-fi indie'],39.0,36
Pete Johnson & Big Joe Turner,Pete Johnson,['barrelhouse piano' 'boogie-woogie' 'piano blues' 'stride'],34.0,59
Frank Black Francis,Frank Black & The Catholics,['alternative rock'],30.0,65
Oxes,ODESZA,['chillwave' 'edm'],72.0,60
TSOL,TOOL,"['alternative metal' 'alternative rock' 'art rock' 'nu metal'
 'progressive metal' 'progressive rock' 'rock']",72.0,75
Blaque feat. 50 Cent,Black,['trap carioca'],54.0,32
Jesu,Jesús Adrián Romero,['latin christian' 'rock cristiano'],75.0,26
Electric,Electric Light Orchestra,"['album rock' 'art rock' 'beatlesque' 'classic rock' 'glam rock'
 'mellow gold' 'rock' 'soft rock' 'symphonic rock']",73.0,50
The Courteeners,Courteeners,['britpop' 'manchester indie' 'modern rock' 'rock'],56.0,85
Jim Ed Brown & The Browns,Jim Ed Brown,['arkansas country'],36.0,65
Scott Fisher,,,,0
GG Allin,,,,0
Figures On A Beach,,,,0
Joshua Starmer,,,,0
The Fall of Troy,,,,0
Erick Sermon,,,,0
Paul McCartney & Wings,,,,0
Kevin Shields,,,,0
The Pentangle,,,,0
Little Freddie King,,,,0
Laughing Hyenas,,,,0
Amazing Blondel,,,,0
The Starting Line,,,,0
Blanck Mass,,,,0
Hunters,,,,0
IMMORTAL,,,,0
Vaccine,,,,0
Split Enz,,,,0
We Are Catchers,,,,0
DEATH,,,,0
Penetration,,,,0
Large Professor,,,,0
Big Joe Turner,,,,0
Trixter,,,,0
Leon Russell & New Grass Revival,Leon Russell,"['blues rock' 'classic rock' 'country rock' 'folk' 'folk rock'
 'mellow gold' 'outlaw country' 'piano rock' 'roots rock'
 'singer-songwriter' 'soft rock' 'swamp rock']",51.0,55
Onry Ozzborn (Feat Ill Bill),ILL BILL,['conscious hip hop' 'hardcore hip hop'],53.0,44
Tom Robinson,Tom Robinson Band,['glam rock' 'pub rock'],40.0,83
Jennifer OConnor,Jennifer O'Connor,['alternative roots rock'],20.0,94
C+C Music Factory,C & C Music Factory,['diva house' 'eurodance' 'hip house'],56.0,89
MC EIHT FEATURING CMW,MC Eiht,['g funk' 'gangster rap' 'west coast rap'],63.0,50
Laika & The Cosmonauts,Laika Beats,['downtempo bass'],31.0,61
health&beauty,HEALTH,['grave wave' 'metropopolis' 'noise pop' 'noise rock'],59.0,63
The Damnations TX,The Damned,"['alternative rock' 'gothic rock' 'hardcore punk' 'new wave' 'post-punk'
 'pub rock' 'punk']",51.0,59
Fauré,Gabriel Fauré,['classical' 'post-romantic era'],64.0,56
Slakah The Beatchild,Beatchild,['canadian pop' 'neo r&b'],35.0,62
Manitoba,Manitoba Chamber Orchestra,['chamber orchestra'],24.0,47
Wet,Wet Leg,['crank wave' 'indie rock'],67.0,60
Junior Walker & the All-Stars,Jr. Walker & The All Stars,"['classic soul' 'funk' 'motown' 'quiet storm' 'rhythm and blues' 'soul'
 'southern soul']",51.0,87
Vince Guaraldi / Bola Sete,Vince Guaraldi Trio,['adult standards' 'jazz trio' 'lounge'],59.0,71
Chaka Demus,Chaka Demus & Pliers,['funana' 'lovers rock' 'old school dancehall'],56.0,71
Spinners,The Spinners,"['classic soul' 'disco' 'funk' 'motown' 'philly soul' 'quiet storm' 'soul'
 'southern soul']",62.0,80
Ruben Blades,Rubén Blades,['latin jazz' 'salsa' 'tipico' 'tropical'],65.0,92
Paul Lamb & The King Snakes,Paul Lambert,,3.0,51
Jools Holland_ Mica Paris and David Gilmour,David Gilmour,"['album rock' 'art rock' 'blues rock' 'classic rock' 'progressive rock'
 'symphonic rock']",57.0,46
Kimya Dawson & Antsy Pants,Kimya Dawson,['anti-folk' 'folk punk' 'olympia wa indie'],49.0,63
Lil Flip and Judge Dredd,Lil' Flip,"['crunk' 'dirty south rap' 'gangster rap' 'houston rap' 'pop rap'
 'southern hip hop' 'trap']",56.0,48
Buddy & Julie Miller,Buddy,['cali rap' 'underground hip hop'],62.0,40
